【热销百万单品】15斤洗衣液整箱家用实惠装去污强效薰衣草留香味,"机洗,通用,箱装,3kg以上",3495916,蓝月亮,2157288389,134.2,86,6.4折,536005078631653379,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100001647/2024/0622/47/4384aeeb-0193-449d-882c-de54dc7b56aa_420_531.jpg
【戚薇推荐】4斤大师香氛洗衣液持久留香护色护衣家用实惠双瓶装,"机洗,通用,瓶装,1.1-2kg",100197789,立白,2476802352682077,59.9,39,6.5折,380349871327002625,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100005574/2023/0922/168/112d70f1-22ed-424a-bfa0-11d499875df4_420_531.jpg
12斤装除菌香水洗衣液茉莉花香香味持久留香家用,"机洗,箱装,1.1-2kg,花香",100165094,植护,2797005159851078,90,48,5.3折,1096703765230129153,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100005303/2023/0414/78/9b5f5667-6e5e-44a6-b3ed-5a8524d07a41_420_531.jpg
【超值囤货】奥妙17.6斤洗衣液天然酵素除菌除螨洁净去污,"机洗,通用,瓶装,3kg以上",100706670,奥妙,1441876093031822,169,96,5.7折,1318224523445481478,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100007498/2023/0210/75/80f842c4-a1c6-4eb6-a8cc-e3026124390b_420_531.jpg
婴儿洗衣液金盏花儿童宝宝专用酵素温和深层去污留香洗衣液,"机洗,通用,袋装,250g",102945127,安慕斯,3430463374504071,4.9,3.9,8折,1388030520778547201,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100015042/2024/0624/40/6b189bc9-ec8f-4a35-a7d8-0a541a641c59_420_531.jpg
【4件起售】洗衣液薰衣草2L/桶持久留香实惠家庭装,"机洗,瓶装,1.1-2kg,花香",101057564,爱恩倍,1753241383066204,19.9,9.41,4.7折,875182703733706753,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100010404/2022/1202/166/47702d7b-18f4-4124-9c6b-029859374f74_420_531.jpg
【16斤整箱！】洗衣液整箱家庭专用实惠装机洗去污留香味洁净衣服,"机洗,通用,箱装,3kg以上",3495916,蓝月亮,694235317,150.2,94,6.3折,175717066029518849,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100001647/2024/0622/184/865b312f-a8f9-42dd-bcbd-8e62d7a2fffb_420_531.jpg
4斤活氧酵素香水洗衣液家用实惠装学生持久留香香氛去污强效家庭,"机洗,通用,瓶装,1.1-2kg",3575337,南堡,2170415058,20,10,5.0折,1244759714480328705,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100001989/2024/0223/154/b8e45eb6-5ed0-44cd-9d08-455c455e01c6_420_531.jpg
【戚薇推荐】大师香氛洗衣液持久留香护色护衣持久留香6斤全瓶装,"机洗,通用,瓶装,2.1-3kg",100197789,立白,2482439470815517,109.9,58,5.3折,380349872703246337,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100005574/2023/0922/167/6eb837d8-7942-406b-b9cb-3c28dd42e750_420_531.jpg
【整箱带走8斤！】自然薰衣草洁净炫彩洗衣液8斤家庭装 耐用半年,"机洗,通用,瓶装,3kg以上",101951415,超能,2842096160658519,79,44,5.6折,3618438092589445121,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100014262/2024/0627/42/23dbd51e-31dd-4e9a-93b2-daf421bd3227_420_531.jpg
全新升级| 有氧洗威露士除菌洗衣液1L*2瓶装 除螨99.9%,"机洗,通用,瓶装,1.1-2kg/2.1-3kg",3534252,威露士,2166104966,69,36,5.2折,2682252024185516033,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100001848/2024/0715/89/223afc8e-4ea4-4ae8-a407-4b625847813f_420_531.jpg
【除菌除螨&深层洁净】奥妙洗衣液6KG天然酵素 易溶易漂无残留,"机洗,通用,瓶装,3kg以上",100706670,奥妙,2660944879761742,139,69,5.0折,885878974456008705,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100007498/2023/0208/60/01a90543-4607-4160-96aa-3bc58f38609f_420_531.jpg
洗衣液4斤】 整箱家用实惠家庭装薰衣草香味留香机洗去污强效持久,"机洗,通用,箱装,1.1-2kg",100039906,蓝月亮,1962132501542914,39.6,29.9,7.6折,1104303385774989313,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100003794/2024/0706/87/5fd9fe64-ebb6-47a1-83e8-ba1bae6b9ed4_420_531.jpg
【3瓶*280g】内衣洗衣液男士女士内衣清洗液洗内裤专用洗衣液,"手洗,通用,瓶装,果香",101196952,蓝漂,3432174572843480,19.9,9.9,5折起,4561660883608965121,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100012237/2024/0625/176/cbe5d06d-1014-46f7-977e-2702a504274d_420_531.jpg
天然茶籽洗衣液12斤除菌除螨手洗机去渍促销组合装家用家庭装,"机洗,通用,袋装,3kg以上",100197789,立白,998974801248605,99,52,5.3折,2470019737629167617,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100005574/2024/0201/116/a991b091-5c4b-4377-b6e0-4d107c92a49d_420_531.jpg
天然植皂皂液洗衣液12斤大容量瓶装家用实惠装 温和洁净无刺激,"机洗,通用,箱装,3kg以上",3534252,la,2161252726,169,79,4.7折,1673445501683048451,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100001848/2024/0407/73/fa97adcb-c0a2-46aa-8393-5cef11e5eff4_420_531.jpg
实惠家用装囤货洗衣液深层洁净柔软持久留香机洗手洗有效去污渍,"机洗,通用,瓶装,0.5-1kg",102150136,芭菲,2913213980438040,25,9.41,3.8折,3258994564692684801,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100014393/2023/0703/11/c752f260-fcb2-4cd4-b1f2-39d882dd97f4_420_531.jpg
【超值囤货】奥妙17.6斤洗衣液天然酵素除菌除螨洁净去污,"机洗,通用,瓶装,3kg以上",100706670,奥妙,1414390335763534,169,96,5.7折,1318224523445481474,http://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100007498/2023/0210/45/862f5aa6-b0c4-47f4-8e96-426ec210828d_420_531.jpg
